year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2019,00,29020,Kokomo MSA,BioCrossroads,0.0,6.755606690910601,16.044703484836802,59.00521137779451,63.708998792922294,65.99213607956736,70.7272601997864,20.77618904510881
2022,00,29020,Kokomo MSA,BioCrossroads,0.0,14.730535667491559,11.7562136547132,70.39966629354639,58.38924270788187,84.64661305976831,65.29944730886415,17.605344218214178
2022,00,43780,South Bend-Mishawaka MSA,BioCrossroads,8.304588959661816,84.61628914555929,180.34709121509258,836.3981852093359,1083.7669795586273,1072.5103911468082,1186.8349985831012,355.76030019625847
2020,00,17140,Cincinnati MSA,BioCrossroads,41.37755201996589,462.2020021167493,1771.9710262892236,8896.394105898811,8765.962832122754,8824.154673864687,6977.951688325223,1592.5017121905648
2020,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,258.95435262487695,1914.5194632877087,6954.434761029955,44230.366206658764,54076.28941421245,57679.80993430692,45442.56460995983,11353.760155335909
2019,00,17140,Cincinnati MSA,BioCrossroads,62.589450470565154,522.8884853753714,1695.1034379229652,8230.382779411504,8466.727651322713,8720.199652039555,6776.4895433287,1609.4054426438904
2023,00,43780,South Bend-Mishawaka MSA,BioCrossroads,7.275257438135976,75.26821113064928,174.38791486948003,811.8191244307163,971.789711660917,1040.7705558649757,1081.2965261818792,362.71890858560755
2019,00,18020,Columbus MSA,BioCrossroads,0.32061608415594,22.93685811305477,54.30605006460515,238.21468614726936,212.51995076873624,248.0319784058056,190.39267649866449,41.465523425696084
2019,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2.6574591057148798,101.2152453376456,253.98934905854622,1595.4024771593386,1746.9023337496294,1888.238362807976,1727.4849701827115,384.0362630301207
2021,00,21140,Elkhart-Goshen MSA,BioCrossroads,18.2719079219826,39.96588204166524,98.78776413426358,286.2856585706854,358.33487730998905,281.25126804779507,275.0446663699852,112.59451954090643
2023,0,00000,United States,BioCrossroads,18194.076364275745,109533.81827732724,301481.68160246674,1730675.5860451823,1842257.288629778,1760923.6075762494,1402033.9125218894,427331.0659573128
2023,00,34620,Muncie MSA,BioCrossroads,0.0,1.5845858687076002,9.714434718698232,37.412042311437894,54.241647601768165,52.17067081654026,33.85052489778781,9.805632695042664
2021,00,14020,Bloomington MSA,BioCrossroads,98.59396390818002,926.9893210167915,1783.4128576026692,7114.648016977453,5413.908416574419,5110.279295348201,4399.020359077484,972.0283877347294
2020,00,21780,Evansville MSA,BioCrossroads,12.324782482829239,49.39672039867962,144.85841001706666,1056.3495237206016,1194.5197142564816,1155.1950529750975,853.828225240119,175.94853081133658
2021,00,45460,Terre Haute MSA,BioCrossroads,0.0,34.55803635904704,74.24438374188743,433.101447364814,611.1725299945788,529.5305339033209,555.3629853304,102.57451984022327
2019,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,275.3214646049043,2102.9567811429315,6807.540058487074,43298.350928554966,53856.16383261105,58250.31412510917,44771.63799960674,10844.529837952847
