cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2019,3510.7370191962746,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2021,26069.90468614367,Non-STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2024,3517.346568375734,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2024,28774.936798728355,Non-STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2025,3647.3042374486604,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2027,30110.663600104956,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2021,223747.99307505594,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2023,232853.85085007397,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2024,22204.76986363841,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2024,232150.4763538228,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2019,748.3775498736231,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2019,11035.650796407039,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2027,12546.07175803408,Non-STEM
Advanced and Traded Industries,Muncie MSA,00,000,34620,2021,1129.9285112053017,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2022,3324.8354642873996,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2024,3098.115395935457,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2025,3207.7916058658197,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2027,3363.765795238835,STEM
Advanced and Traded Industries,Bloomington MSA,00,000,14020,2028,3423.9695943421584,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2021,167310.68306638682,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2026,173600.68872813904,STEM
Advanced and Traded Industries,Chicago-Naperville-Elgin MSA,00,000,16980,2026,1276201.5958631223,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2023,50256.02565905986,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2023,329159.8729500779,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2025,51147.80602646779,STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2025,331823.5877986557,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2026,334042.4615151491,Non-STEM
Advanced and Traded Industries,Cincinnati MSA,00,000,17140,2028,336329.9469828893,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2021,19312.132775189595,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2022,20359.715702593556,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2024,4831.489186909624,STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2025,20324.821076834112,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2026,20338.976588938072,Non-STEM
Advanced and Traded Industries,Columbus MSA,00,000,18020,2027,4957.468842571565,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2021,3803.156816370455,STEM
Advanced and Traded Industries,Elkhart-Goshen MSA,00,000,21140,2026,3681.529543829685,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2022,36888.40032503375,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2023,3584.180391778126,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2023,36820.236861726626,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2025,37116.141156365,Non-STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2027,3736.4344059125733,STEM
Advanced and Traded Industries,Evansville MSA,00,000,21780,2027,37519.050862827535,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2021,7005.788526952666,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2023,7427.714732672865,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2026,7789.879146188894,STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2026,71009.57242407984,Non-STEM
Advanced and Traded Industries,Fort Wayne MSA,00,000,23060,2028,7935.465616192724,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2020,908721.8472429464,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2021,951110.2916110147,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2022,108439.04592545955,STEM
Advanced and Traded Industries,Indiana,18,000,00000,2023,998152.603075675,Non-STEM
Advanced and Traded Industries,Indiana,18,000,00000,2026,1018261.2971372933,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2019,43977.49422866225,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2019,278337.04962270154,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2021,290544.87385436986,Non-STEM
