year,NAICS,occ
2026,312111,29-2033
2026,333243,35-2013
2022,311224,53-3053
2023,311313,43-4121
2024,311412,31-9099
2023,311830,45-2021
2028,312111,33-1021
2026,325413,13-1111
2025,424480,15-1299
2026,115113,39-3031
2025,311615,53-7073
2023,311930,51-9083
2023,333111,27-1027
2020,115112,53-7011
2023,311612,43-5021
2027,325413,19-3034
2025,115111,15-2011
2022,115112,19-1032
2019,311813,31-1132
2020,325312,47-2181
2019,325315,43-2099
2022,113210,53-7041
2021,311230,17-3024
2026,311412,19-4092
2024,311612,53-1047
2020,311710,29-1211
2024,312120,49-9062
2022,115116,47-2011
2026,311920,51-4122
2028,321113,25-2059
2024,424810,39-6012
2026,311421,43-4051
2026,312130,33-1091
2021,325312,29-1022
2021,325314,47-2022
2023,115210,29-2057
2025,311411,47-3019
2019,311710,19-4061
2022,311710,15-1212
2028,312111,29-2092
2025,325311,25-2052
2028,333243,47-2231
2021,113210,49-9091
2027,113310,49-9031
2024,113310,27-2012
2026,311941,53-4011
2021,325312,51-6093
2022,424590,49-3093
2026,311821,53-3052
2026,312120,49-3023
2019,312230,43-4021
2021,322110,39-2011
2027,115210,51-2021
2025,325411,49-9061
2027,424590,11-9141
2028,493120,15-2021
2025,115115,39-3011
2023,311212,43-3099
2025,311313,51-6092
2025,311314,31-2012
2020,311520,15-2021
2022,311611,17-2021
2024,312230,47-2152
2026,325315,41-9012
2019,325315,29-1123
2019,325320,19-1023
2025,115113,49-3023
2023,311221,21-2011
2020,311421,43-9111
2027,311999,47-5044
2026,312130,17-2161
2028,312140,53-7031
2021,325413,49-3043
2020,424490,19-4051
2019,113310,29-2055
2020,114111,53-5021
2025,311213,13-2041
2027,311613,51-8099
2022,311812,51-9051
2023,311941,49-9092
2022,321113,53-6099
2019,325411,49-9011
2027,325412,51-4193
2025,424420,21-1094
2022,424810,17-2111
2025,114111,21-2021
2028,115113,29-2051
2025,115310,53-4099
2021,311612,43-4111
2028,311812,51-9198
2027,312113,13-2041
2028,325411,41-9031
2025,424820,11-9199
2021,424820,51-4192
2021,311422,17-2081
2022,311520,29-1181
2020,311611,51-3092
2019,311811,47-5011
2025,311813,51-9023
2025,311821,23-2011
2024,325315,17-2011
2023,424420,39-4011
2019,114112,27-2012
2023,115114,51-5112
2028,115116,49-9045
2027,115210,39-4011
2026,311211,27-2023
2025,311212,43-6011
2028,424460,51-9197
2019,424490,47-2211
2019,311230,17-1022
2019,311314,53-2022
2021,311821,51-4022
2028,312120,29-1125
2023,325315,49-3093
2023,423820,19-2021
2026,115114,15-1244
2019,115116,45-1011
2020,311111,31-9093
2027,311340,23-2099
2025,311422,11-3071
2024,311812,29-1129
2028,311999,53-7121
2019,325320,33-9031
2024,424450,15-1221
2026,114112,21-1013
2026,114119,11-9161
2022,114210,27-4012
2021,311225,13-1031
2025,311511,49-9062
2027,311830,25-2057
2022,333243,33-3011
2027,311421,51-8092
2028,311612,29-2032
2027,311911,15-1231
2026,312112,53-3099
2019,311211,27-4021
2023,311520,27-4014
2026,311612,27-2091
2022,311813,11-9021
2022,311813,47-2171
2021,113110,51-4033
2021,115116,31-9096
2027,325312,49-2098
2019,311340,45-4021
2020,311412,51-6031
2025,311423,51-9111
2021,311812,13-1199
2019,333112,13-2052
2021,424460,47-2011
2025,424490,29-1221
2021,115116,51-4031
2024,311213,15-1242
2022,311314,43-3071
2019,311615,47-2053
2019,311920,11-9199
2026,424820,19-2031
2025,115210,53-4013
2021,311314,29-1242
2025,311423,29-9092
2025,311611,11-9072
2025,311830,17-1011
2024,311911,47-2141
2019,311920,47-2081
2021,424820,43-5041
2026,424910,21-1018
2024,115114,33-9091
2025,311612,33-3041
2025,311942,27-1021
2019,115114,39-4031
2027,311351,53-7064
2028,311911,39-5092
2020,311919,47-5023
2027,312111,29-1291
2023,424490,51-3092
2028,115112,39-5092
2020,311211,29-2018
2025,311611,51-6011
2020,311911,39-5012
2026,311991,39-3091
2026,311999,25-2052
2027,424410,31-2011
2019,424420,27-1014
2025,424590,29-1151
2020,493120,53-4099
2025,113210,33-9011
2027,115113,39-9041
2025,115210,43-3041
2022,311991,51-6099
2020,325193,53-7071
2025,325312,47-3015
2022,424520,27-1025
2024,493120,49-9012
2025,311813,51-9111
2024,333111,25-3031
2019,114111,49-2091
2020,114210,43-2011
2026,311351,21-1029
2024,311511,25-4011
2028,312113,51-9123
2024,424480,45-2021
2025,114210,35-2011
2019,115112,21-1099
2028,311211,47-5012
2021,311213,13-1081
2023,311314,25-2012
2023,325315,39-5094
2024,493120,35-2015
2023,115310,19-3099
2028,312230,43-5051
2026,321113,29-1131
2024,321113,53-1041
2026,325193,51-4193
2025,325314,25-2051
2027,325413,15-1252
2026,325414,37-1012
2025,424810,35-2012
2026,311423,47-2151
2025,311812,51-4041
2021,311920,47-2152
2028,325412,51-6051
2028,424410,17-2141
2027,424490,25-4012
2019,114112,29-2099
2021,115114,51-9199
2022,311615,53-7065
2023,311830,37-2021
2023,311930,23-2093
2026,312120,43-6014
2027,333111,53-2011
2024,333112,45-4023
2023,424520,33-1091
2027,311941,13-2061
2020,424460,43-9031
2025,493130,11-3031
2025,311224,49-9045
2023,311941,47-2031
2024,325411,49-2097
2022,333243,55-9999
2027,423820,51-3092
2022,424450,15-2011
2028,424490,37-3013
2023,424590,31-2022
2027,114111,11-9131
2028,115111,37-3019
2019,115210,21-1013
2026,311513,29-1129
2026,311710,41-9012
2020,311811,47-3011
2022,311821,47-3013
2025,311930,29-2056
2025,424420,53-3054
2025,424490,11-9071
2021,111000,27-3099
2022,115115,53-7073
2024,311211,25-2031
2024,311221,45-2093
2026,312111,29-1161
2028,312130,29-1299
2027,424430,25-4031
2025,113110,43-5071
2021,115310,29-1041
2022,322110,51-5112
2024,325414,11-9033
2022,424820,49-9045
2028,311520,51-7011
2022,311821,31-9096
2021,311991,27-4099
2022,424490,53-4031
2027,424520,19-2012
2022,111000,19-3051
2026,311352,45-2093
2020,311511,29-1031
2027,311520,31-2011
2020,311999,31-1132
2020,312140,19-1029
2027,325412,21-1093
2021,424910,53-6041
2025,114119,13-2053
2027,114210,23-1022
2022,311421,29-1011
2022,311824,29-1126
2023,312130,53-7073
2024,325320,53-7064
2024,424490,51-3022
2025,114119,41-9011
2023,311512,31-9091
2023,311613,35-2019
2019,325413,15-1241
2023,424460,33-1021
2025,424810,23-1021
2019,424910,11-3051
2025,325312,13-1082
2025,333112,19-2043
2022,424510,45-4023
2028,311225,31-2022
2021,311423,11-2022
2023,311421,23-1022
2019,311615,51-4035
2024,312140,47-2171
2025,311412,43-4051
2024,311911,51-2011
2022,311920,15-2021
2020,312130,45-1011
2022,325413,11-2032
2026,424820,29-1218
2024,493130,51-9071
2022,111000,39-1014
2019,311911,29-1211
2026,325312,13-1082
2022,493130,43-4181
2021,114112,51-8091
2022,115114,27-2011
2028,115116,19-1042
2026,311119,29-1071
2020,311230,39-4021
2021,311919,31-1132
2022,325193,53-7065
2025,325312,43-4071
2026,325413,47-5012
2028,333243,47-3013
2027,424480,19-2011
2021,424810,27-4012
2019,115114,29-2061
2028,311423,11-9071
2020,311611,19-2011
2024,312113,29-9093
2019,325414,47-5032
2027,325414,29-1125
2027,424420,43-5052
2028,113210,37-3013
2024,113210,53-6099
2023,311313,51-6042
2020,311421,11-9072
2022,311611,53-4031
2028,424420,35-9021
2024,112000,35-2014
2022,311812,13-1199
2026,311821,33-3021
2022,311830,15-1242
2028,333111,51-3091
2021,114119,19-1011
2019,311920,29-1171
2022,312130,17-3012
2022,321113,39-3012
2028,325320,51-9198
2025,424520,29-9091
2023,115116,49-9071
2022,311411,51-3093
2024,311511,33-1099
2026,311611,25-4012
2019,311613,43-3061
2019,311821,19-1011
2024,424810,29-1215
2019,115113,49-3043
2028,115114,51-4023
2028,311213,19-4021
2023,311411,15-1241
2024,311611,29-1171
2021,333111,19-4071
2028,493130,43-1011
2028,113310,51-6064
2021,311111,29-1217
2027,311212,41-2021
2027,311422,27-1019
2024,311812,23-1023
2028,311812,45-3031
2022,311942,33-2022
2026,115116,43-9199
2020,311111,51-6051
2028,311225,49-9041
2027,311612,29-2032
2021,311613,29-2091
2022,311615,53-3051
2024,311941,13-2041
2027,424490,33-1012
2024,311111,41-3041
2027,311224,45-2041
2025,311611,17-3026
2025,311615,49-9095
2020,325311,49-2093
2021,311421,19-4043
2025,311511,53-2022
2025,311520,31-9099
2028,311812,27-4014
2025,325314,29-1011
2022,325414,29-1211
2019,333243,39-2011
2021,424410,39-3021
2024,113210,43-5021
2021,115111,13-1141
2021,115210,11-9081
2024,311991,43-3061
2026,312112,17-2121
2021,424430,17-3023
2026,424810,27-1022
2024,113110,19-5011
2022,311119,43-2099
2026,311224,53-7199
2019,311942,43-4041
2028,311999,51-4052
2022,312112,51-7031
2027,424510,19-3034
2024,424910,41-3021
2021,312130,49-9096
2026,493130,53-6041
2022,311422,33-2022
2022,325315,53-7064
2021,112000,41-2012
2027,311221,19-1029
2028,311520,23-1021
2027,311821,25-9021
2020,114119,51-9012
2023,115112,51-6092
2020,311213,43-4071
2026,311411,49-2097
2028,311920,43-5011
2025,312113,51-3091
2019,325315,41-9099
2020,115115,17-3023
2027,115310,51-9041
2027,311340,35-3023
2020,311710,19-3092
2023,311941,43-4081
2021,311991,15-2099
2023,312140,17-2051
2023,325320,17-3026
2026,424490,51-8091
2025,424490,39-2021
2027,424520,43-5053
2023,311514,11-9161
2028,311821,15-1212
2021,311911,19-1031
2021,311920,47-5022
2028,115210,29-1011
2027,311411,19-4099
2020,311513,47-2071
2024,311920,11-3071
2025,424460,19-3033
2023,424590,43-4141
2020,493120,43-3021
2028,113210,51-2041
2024,311611,51-4071
2022,311920,49-9069
2020,312113,25-3099
2024,325193,39-9041
2020,423820,41-9099
2028,311213,11-1031
2019,424430,53-3053
2027,424460,19-1099
2021,424510,51-9192
2020,311911,33-1012
2021,424490,27-1012
2028,115310,19-2011
2023,311314,51-4031
2024,311615,51-3023
2027,325315,29-1125
2026,424480,29-9093
2025,493130,25-9021
2026,114112,39-3099
2024,311340,53-6061
2021,311423,53-6099
2025,311811,29-9099
2020,325311,53-5011
2028,424410,19-4043
2027,113310,29-2053
2027,311225,31-2022
2020,311313,51-4121
2019,311710,25-3011
2021,311821,47-3012
2022,312113,15-1242
2025,312130,19-4012
2027,325314,51-7011
2023,114112,47-2042
2023,312111,17-1022
2025,333243,51-3011
2019,311513,51-9083
2019,311611,41-3041
2022,424510,23-2099
2022,311212,17-3031
2027,311230,31-1128
2021,311314,25-2052
2021,311351,23-1023
2019,311710,19-2099
2027,424410,37-2012
2027,114112,27-3031
2023,115113,15-1253
2026,311514,43-4111
2027,311612,43-9021
2028,311821,27-3023
2023,311821,49-3042
2027,312112,15-1252
2021,312140,31-9093
2023,325411,17-2021
2023,493120,29-2081
2023,112000,31-9099
2023,115113,45-4021
2028,311340,51-9193
2027,311511,47-5032
2023,311911,51-6092
2027,321113,51-9021
2026,493130,15-2099
2026,113110,53-4011
2021,115111,53-2022
2020,311612,47-3014
2022,311830,19-1042
2019,424410,27-1019
2024,311812,13-2051
2028,311920,47-2082
2027,311930,27-1022
2022,424420,39-5012
2021,115112,23-1021
2024,325311,27-2031
2027,424810,39-4031
2022,311513,51-9111
2023,311991,49-3092
2025,333111,15-1241
2021,424450,39-1013
2027,111000,43-4131
2019,114210,51-9082
2026,115113,49-9062
2025,311230,35-3023
2022,311612,47-1011
2026,311812,31-1133
2028,311813,51-4122
2019,311999,43-4171
2027,325412,13-2041
2024,325412,25-3041
2022,424910,11-2032
2028,493130,33-1021
2025,115112,39-3099
2028,115115,13-2028
2019,311212,47-5012
2028,311423,53-3054
2024,311941,45-2093
2022,325311,53-7064
2026,424910,49-3052
2019,113310,47-5013
2025,114111,29-1216
2026,115116,25-3031
2020,311225,51-8093
2025,311411,43-4021
2027,311422,51-9032
2023,311512,43-5021
2021,311813,13-1041
2019,311824,39-7018
2027,424410,25-2021
2025,424490,51-4121
2027,311615,51-4035
2021,311942,29-1131
2025,333112,19-2099
2023,424430,51-4033
2028,424450,21-1019
2027,113310,53-6061
2028,311111,51-9083
2019,311212,19-1011
2025,311213,17-3011
2022,311225,41-3021
