sector_id,sector_name,statefips,countyfips,year,own,disc,naics,repunits,empl,wages
3,525 - Funds and Trusts,15,000,2021,0,1,525910,1.0,0.0,0.0
3,523 - Securities and Investments,72,000,2022,0,1,523910,9.0,0.0,0.0
3,524 - Insurance,10,000,2020,0,0,524114,23.0,1138.33,94074448.0
3,524 - Insurance,10,000,2021,0,0,524126,46.0,935.5,105844506.0
3,525 - Funds and Trusts,49,000,2019,0,0,525990,35.0,112.75,18185913.0
3,524 - Insurance,27,000,2019,0,1,524298,267.0,1672.75,172361814.0
3,525 - Funds and Trusts,45,000,2018,0,0,525110,7.0,10.5,909050.0
2,522 - Credit Intermediation,41,000,2018,0,1,522220,59.0,0.0,0.0
3,523 - Securities and Investments,22,000,2020,0,0,523210,5.0,12.83,779695.0
3,523 - Securities and Investments,40,000,2023,0,0,523150,164.0,1429.0,253323155.0
3,523 - Securities and Investments,29,000,2024,0,0,523940,1441.0,6361.33,906198493.0
3,523 - Securities and Investments,56,000,2024,0,1,523160,2.0,0.0,0.0
3,524 - Insurance,38,000,2020,0,1,524128,5.0,40.33,4219219.0
3,525 - Funds and Trusts,55,000,2020,0,0,525920,9.0,37.08,2766676.0
2,522 - Credit Intermediation,25,000,2023,0,0,522180,940.0,11843.75,1159697978.0
2,522 - Credit Intermediation,49,000,2022,0,0,522130,466.0,7177.66,394676625.0
3,524 - Insurance,33,000,2024,0,0,524130,11.0,207.16,41562933.0
3,524 - Insurance,56,000,2023,0,0,524298,42.0,67.58,5276403.0
2,522 - Credit Intermediation,13,000,2022,0,0,522210,35.0,527.58,180680795.0
2,522 - Credit Intermediation,13,000,2023,0,0,522390,164.0,874.0,44297716.0
3,523 - Securities and Investments,54,000,2022,0,0,523940,144.0,469.16,46583419.0
3,525 - Funds and Trusts,12,000,2020,0,0,525910,89.0,157.08,29687498.0
2,522 - Credit Intermediation,50,000,2020,0,1,522210,4.0,0.0,0.0
3,524 - Insurance,33,000,2023,0,0,524298,105.0,303.83,39627054.0
2,522 - Credit Intermediation,32,000,2023,0,0,522130,144.0,1774.08,120122534.0
2,522 - Credit Intermediation,36,000,2018,0,0,522310,416.0,2917.83,453790261.0
2,522 - Credit Intermediation,54,000,2019,0,0,522130,137.0,1127.83,46403246.0
3,524 - Insurance,46,000,2018,0,0,524292,29.0,674.33,37143380.0
3,524 - Insurance,40,000,2024,0,0,524128,49.0,319.83,44163424.0
2,522 - Credit Intermediation,36,000,2019,0,1,522292,416.0,5722.0,878816008.0
1,521 - Central Bank,01,000,2021,0,0,521110,5.0,29.0,3597280.0
2,522 - Credit Intermediation,04,000,2024,0,0,522110,1174.0,40399.16,4061596521.0
2,522 - Credit Intermediation,36,000,2022,0,0,522320,672.0,12328.66,2519475325.0
2,522 - Credit Intermediation,55,000,2021,0,0,522110,1645.0,25396.08,1934251801.0
3,523 - Securities and Investments,09,000,2023,0,0,523160,84.0,1178.91,703918520.0
3,523 - Securities and Investments,21,000,2023,0,0,523910,44.0,125.08,13450929.0
3,525 - Funds and Trusts,31,000,2021,0,1,525910,1.0,0.0,0.0
3,525 - Funds and Trusts,24,000,2019,0,0,525120,10.0,137.75,6498215.0
3,524 - Insurance,46,000,2023,0,0,524126,61.0,762.16,59429043.0
3,524 - Insurance,56,000,2018,0,1,524126,15.0,0.0,0.0
3,525 - Funds and Trusts,56,000,2021,0,1,525190,2.0,0.0,0.0
2,522 - Credit Intermediation,41,000,2024,0,0,522180,24.0,192.41,15947377.0
3,525 - Funds and Trusts,13,000,2020,0,1,525910,16.0,0.0,0.0
3,524 - Insurance,0 ,000,2024,0,1,524113,5234.0,211157.5,28092142188.0
3,525 - Funds and Trusts,39,000,2018,0,0,525110,26.0,56.5,4783289.0
3,524 - Insurance,34,000,2020,0,0,524127,147.0,1331.08,159825163.0
2,522 - Credit Intermediation,36,000,2018,0,1,522292,423.0,6080.25,861248386.0
2,522 - Credit Intermediation,28,000,2019,0,0,522291,555.0,1999.5,77354885.0
2,522 - Credit Intermediation,32,000,2023,0,0,522220,92.0,1186.91,104665177.0
2,522 - Credit Intermediation,49,000,2018,0,0,522110,571.0,10370.66,714516037.0
3,524 - Insurance,35,000,2024,0,0,524114,86.0,4741.0,378820198.0
3,523 - Securities and Investments,06,000,2021,0,0,523999,227.0,1355.83,234135699.0
2,522 - Credit Intermediation,32,000,2023,0,0,522210,27.0,3535.83,321542483.0
2,522 - Credit Intermediation,36,000,2018,0,0,522320,689.0,9016.58,1699911191.0
3,525 - Funds and Trusts,01,000,2023,0,0,525920,56.0,57.91,5608654.0
3,523 - Securities and Investments,19,000,2023,0,0,523210,4.0,12.16,1391499.0
2,522 - Credit Intermediation,30,000,2020,0,0,522220,19.0,35.66,2582588.0
2,522 - Credit Intermediation,04,000,2023,0,0,522320,268.0,7221.83,653689111.0
3,524 - Insurance,31,000,2024,0,0,524298,133.0,756.83,77545593.0
3,524 - Insurance,38,000,2021,0,0,524113,14.0,135.75,15089354.0
3,525 - Funds and Trusts,30,000,2022,0,1,525120,3.0,0.0,0.0
