year,NAICS,occ
2026,513110,39-5092
2024,334517,51-9193
2025,811210,31-1133
2019,334416,51-6051
2024,334413,47-2171
2022,334418,51-5111
2020,334610,17-2171
2021,517111,41-2031
2022,517121,27-1023
2020,541512,19-2099
2020,334413,53-7199
2022,517810,51-7021
2019,334112,51-8031
2019,334210,11-9141
2027,518210,35-2014
2022,541513,15-1242
2024,334419,21-2011
2023,334513,49-9051
2019,518210,17-3025
2021,334514,33-3011
2025,513210,41-4012
2020,334512,37-1012
2025,334516,53-5011
2023,541519,29-2092
2024,541513,13-2061
2022,811210,49-2092
2022,541519,51-9193
2025,541511,27-1019
2027,334416,43-4111
2025,334418,21-1012
2024,518210,27-1014
2023,334417,43-9021
2024,517410,49-9011
2026,541519,51-4033
2023,334513,33-3031
2023,334416,27-3091
2022,517410,17-2199
2027,517810,33-9032
2022,334310,53-7081
2024,513130,25-3041
2022,334512,41-1011
2026,334517,17-1021
2022,541513,19-3041
2026,334220,19-2012
2019,334416,53-6011
2020,334610,47-2221
2022,811210,51-8091
2027,423430,49-9091
2028,334417,31-2011
2028,334220,43-4031
2025,334220,43-4021
2022,513110,29-1292
2028,334418,51-3011
2023,334413,49-9094
2028,334517,51-4033
2025,541513,53-2011
2021,611420,35-3031
2023,513130,45-2021
2028,518210,43-4041
2024,541511,51-4041
2025,334412,47-2031
2022,334413,19-1029
2021,334418,17-2061
2024,517111,11-9013
2024,513120,33-2021
2023,334516,53-7011
2028,334310,35-9099
2019,334516,47-2051
2026,423430,49-9092
2027,333242,11-3061
2022,334290,45-4029
2026,513199,47-2043
2027,811210,19-3091
2020,334510,29-2036
2024,517121,51-1011
2021,541511,11-9071
2022,334517,15-2031
2020,334111,31-9011
2024,334514,25-2012
2023,423430,17-2131
2026,541519,43-3011
2022,334412,47-3015
2022,334514,29-1181
2022,334290,17-2131
2025,334210,47-2031
2023,611420,41-9099
2019,541512,35-2019
2026,541512,47-2073
2021,334210,53-6021
2025,334516,29-1212
2025,334519,29-2052
2019,334111,17-3028
2022,334610,43-4071
2025,513120,29-2092
2023,334519,43-9051
2024,513210,49-3023
2026,334610,15-1299
2022,334512,51-2051
2025,541513,51-2028
2027,334417,37-2019
2026,334419,49-9011
2027,513110,19-4071
2021,518210,51-2028
2028,334416,51-9195
2021,611420,35-2013
2027,334519,39-3019
2019,334118,39-3092
2023,334610,47-2031
2019,513199,51-8011
2023,334512,45-1011
2027,334416,49-9012
2021,334510,47-5022
2028,517410,47-4021
2022,541512,15-2099
2019,333242,21-1012
2024,611420,29-1123
2024,334416,43-5053
2019,334514,17-2171
2023,334610,43-3011
2025,541513,51-7032
2026,811210,11-9171
2027,541513,29-1218
2028,333242,53-7051
2025,541519,43-6014
2024,541513,27-2091
2022,541519,47-2011
2021,334220,47-5011
2023,334515,13-2041
2028,334220,43-9022
2023,334511,19-4061
2028,334416,11-3131
2027,334513,33-1099
2028,513120,53-6051
2028,334220,21-2099
2028,334510,51-8093
2023,334413,43-9021
2022,334610,11-9179
2025,513110,43-5061
2021,334416,53-5021
2028,334412,53-5022
2021,334519,11-9071
2023,541513,17-3011
2026,334416,47-4041
2025,423430,11-9161
2022,811210,37-3011
2028,334290,11-9072
2022,334510,49-9069
2028,513130,51-9195
2024,611420,47-4098
2025,334118,27-2041
2028,513210,49-3042
2023,517121,27-1026
2026,517121,51-8091
2025,334220,37-2021
2020,513210,53-5011
2022,611420,43-3071
2025,334111,13-1161
2026,517810,53-5011
2026,513199,35-9099
2023,517410,19-5012
2021,334310,53-2012
2027,334610,17-2021
2022,334513,49-9052
2024,334510,47-2181
2027,334220,51-9197
2020,334510,33-3041
2028,334515,25-4022
2023,333242,49-9052
2019,334220,49-2098
2027,513210,13-1141
2027,517112,43-4181
2028,334514,21-1019
2022,541512,29-1161
2025,334220,27-2042
2021,334514,11-9013
2028,513199,49-9094
2025,334412,29-1125
2020,334417,53-6099
2028,334517,17-2031
2024,811210,53-7063
2027,334290,39-2021
2019,517112,39-5094
2026,513130,19-4021
2021,541513,17-2199
2025,334512,51-8021
2021,334513,25-4022
2028,334118,51-7021
2028,333242,35-2011
2024,334417,47-2171
