year,statefips,metrofips,geo_area,cicp_initiative,females,males
2023,00,17140,Cincinnati MSA,Advanced and Traded Industries,429416.30202725047,692764.233117079
2024,00,29020,Kokomo MSA,Advanced and Traded Industries,10620.549339857507,25778.600696998263
2021,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,278655.2867083022,457716.1023899851
2024,00,18020,Columbus MSA,AgriNovus,1265.2776523832279,2459.4615450448314
2022,00,21780,Evansville MSA,BioCrossroads,2009.0129887927594,2754.452873283346
2023,0,00000,United States,BioCrossroads,3459910.805788996,4131832.904809193
2021,00,17140,Cincinnati MSA,Conexus,253055.47787617522,624050.9651018421
2024,00,18020,Columbus MSA,Conexus,25917.712962411395,61697.21023552412
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,269007.2599421128,574289.4509445779
2021,00,21780,Evansville MSA,Conexus,30232.9012149755,83790.82901000683
2022,00,45460,Terre Haute MSA,TechPoint,416.07687772927505,1216.055597137674
2020,00,17140,Cincinnati MSA,TechPoint,25508.65727376065,56499.658250602224
2023,00,16980,Chicago-Naperville-Elgin MSA,TechPoint,153762.91401069946,270731.5385826537
2020,00,29020,Kokomo MSA,TechPoint,146.56296300425097,439.2941752774739
2021,00,21140,Elkhart-Goshen MSA,Finance,3584.553886740306,1784.6268871768234
2024,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,29501.255902947334,67493.10145897834
2024,00,14020,Bloomington MSA,AgriNovus,1581.3221874237659,3713.971364167356
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,32489.219682108796,69553.73701251733
2020,00,45460,Terre Haute MSA,BioCrossroads,973.6590689120693,879.3759814598578
2023,00,14020,Bloomington MSA,Finance,3066.5306319707997,1894.8830495724033
2021,00,31140,Louisville/Jefferson County MSA,Finance,76765.17223552527,47020.9074599911
2022,18,00000,Indiana,Healthcare,831822.5781554312,189291.43446682557
2024,00,17140,Cincinnati MSA,Advanced and Traded Industries,430482.1020339844,691393.7965770772
2021,00,45460,Terre Haute MSA,AgriNovus,1485.6161302029075,4932.262401969656
2022,00,17140,Cincinnati MSA,Conexus,265843.26768837636,639596.8663385503
2023,18,00000,Indiana,TechPoint,75745.36563580493,137988.8174614419
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,32769.96951330149,64290.29221886492
2024,00,14020,Bloomington MSA,Healthcare,20640.70742244276,5321.888072341449
2023,00,29020,Kokomo MSA,Healthcare,9984.529485991228,1988.464914018417
2023,00,29020,Kokomo MSA,Advanced and Traded Industries,11014.769715848744,26054.371372362843
2022,00,23060,Fort Wayne MSA,BioCrossroads,1946.118180861891,3336.8339634002837
2020,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,2206.199557245811,4326.339534447542
2022,00,18020,Columbus MSA,Conexus,25464.71519028132,61106.84461855274
2023,00,14020,Bloomington MSA,TechPoint,1032.2309702042219,2179.6654557411157
2020,18,00000,Indiana,TechPoint,64279.08010508441,126317.5710234894
2022,0,00000,United States,Finance,11746491.5585523,8315010.325949355
2020,18,00000,Indiana,Finance,209203.96183342361,113406.00494686925
2022,00,29200,Lafayette-West Lafayette MSA,Healthcare,25111.876918319434,5305.460290642711
2024,00,14020,Bloomington MSA,Advanced and Traded Industries,23294.364493012043,29007.72034705646
2023,00,23060,Fort Wayne MSA,Advanced and Traded Industries,80580.62336602964,149621.6220995438
2024,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,1674499.204899797,2556327.1533746473
2023,00,23060,Fort Wayne MSA,AgriNovus,6799.625590345455,14152.536702297111
2020,00,29200,Lafayette-West Lafayette MSA,AgriNovus,5880.893140576805,15753.17061884113
2023,00,31140,Louisville/Jefferson County MSA,AgriNovus,26664.574927984217,57842.564567472786
