sector,sector_name,naics_version,naics_code,naics_title,compTia_reportYear
1,IT/Tech Services,2017,541512,  Computer systems design services,2023
,,2017,541512,  Computer systems design services,2021
,,2017,541513,  Computer facilities management services,2021
1,IT/Tech Services,2017,541513,  Computer facilities management services,2023
1,IT/Tech Services,2017,541519,  Other computer related services,2023
,,2017,541519,  Other computer related services,2021
,,2017,541713,  Research and development in nanotechnology,2021
,,2017,541714,  Research and development in biotechnology (except nanobiotechnology),2021
,,2017,541715,"  Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",2021
,,2017,611420,  Computer training,2021
1,IT/Tech Services,2017,611420,  Computer training,2023
1,IT/Tech Services,2017,811211,  Consumer electronics repair and maintenance,2023
,,2017,811211,  Consumer electronics repair and maintenance,2021
,,2017,811212,  Computer and office machine repair,2021
1,IT/Tech Services,2017,811212,  Computer and office machine repair,2023
1,IT/Tech Services,2017,811213,  Communication equipment repair,2023
,,2017,811213,  Communication equipment repair,2021
,,2017,811219,  Other electronic equipment repair,2021
1,IT/Tech Services,2017,811219,  Other electronic equipment repair,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,333242,Semiconductor Machinery Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,333242,  Semiconductor machinery manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,333242,Semiconductor Machinery Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334111,  Electronic computer manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334111,Electronic Computer Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334111,Electronic Computer Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334112,Computer Storage Device Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334112,  Computer storage device manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334112,Computer Storage Device Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334118,  Other computer peripheral equipment mfg,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334210,Telephone Apparatus Manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334210,  Telephone apparatus manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334210,Telephone Apparatus Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334220,  Broadcast and wireless communications equip.,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334290,Other Communications Equipment Manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334290,  Other communications equipment manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334290,Other Communications Equipment Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334310,  Audio and video equipment manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334310,Audio and Video Equipment Manufacturing,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334310,Audio and Video Equipment Manufacturing,2025
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334412,Bare Printed Circuit Board Manufacturing  ,2023
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334412,  Bare printed circuit board manufacturing,2021
4,"Manufacturing: Computer, Peripheral and Communications Equipment",2022,334412,Bare Printed Circuit Board Manufacturing,2025
