cicp_initiative,sector,sector_name,Year,statefips,metrofips,geo_area,entry_level_ed,jobs
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,No formal educational credential,717.315682035206
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,Postsecondary nondegree award,831.3043522339005
Advanced and Traded Industries,0,,2019,00,29020,Kokomo MSA,"Some college, no degree",125.79190873075748
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,Associate's degree,719.3252431289206
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,Bachelor's degree,4895.851238095214
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,Doctoral or professional degree,98.20510162090818
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,High school diploma or equivalent,19500.63966188752
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,Master's degree,18.23108154333123
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,No formal educational credential,3026.9251259846396
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,Postsecondary nondegree award,1232.437707912199
Advanced and Traded Industries,0,,2019,00,29200,Lafayette-West Lafayette MSA,"Some college, no degree",391.95436786879804
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,Associate's degree,4172.388799499815
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,Bachelor's degree,53274.56917144337
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,Doctoral or professional degree,962.7587329646772
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,High school diploma or equivalent,128140.34944576609
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,Master's degree,457.26443729129994
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,No formal educational credential,35846.7903390157
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,Postsecondary nondegree award,12512.250165739462
Advanced and Traded Industries,0,,2019,00,31140,Louisville/Jefferson County MSA,"Some college, no degree",5848.151384918125
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,Associate's degree,188.55362000800054
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,Bachelor's degree,1795.172575050828
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,Doctoral or professional degree,32.92368684139279
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,High school diploma or equivalent,8093.5646359889
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,Master's degree,16.020833152207725
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,No formal educational credential,1669.8123148192851
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,Postsecondary nondegree award,560.5823265682441
Advanced and Traded Industries,0,,2019,00,33140,Michigan City-La Porte MSA,"Some college, no degree",187.01019453845544
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,Associate's degree,260.7234638225675
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,Bachelor's degree,2484.609892125295
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,Doctoral or professional degree,58.00782365926944
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,High school diploma or equivalent,5373.839763891913
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,Master's degree,10.094559470984777
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,No formal educational credential,788.1529863932549
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,Postsecondary nondegree award,722.6795640913061
Advanced and Traded Industries,0,,2019,00,34620,Muncie MSA,"Some college, no degree",273.3990063423635
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,Associate's degree,866.1618487602277
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,Bachelor's degree,7926.513113030096
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,Doctoral or professional degree,208.03517431550927
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,High school diploma or equivalent,22401.80774060153
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,Master's degree,62.06032367406629
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,No formal educational credential,3625.4280673122275
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,Postsecondary nondegree award,2104.8030574846534
Advanced and Traded Industries,0,,2019,00,43780,South Bend-Mishawaka MSA,"Some college, no degree",878.3426785017423
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,Associate's degree,387.0622830940119
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,Bachelor's degree,2600.2895408036156
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,Doctoral or professional degree,63.765947108016675
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,High school diploma or equivalent,10338.554345669925
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,Master's degree,13.119685103730227
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,No formal educational credential,1530.6817441335188
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,Postsecondary nondegree award,969.8166713007535
Advanced and Traded Industries,0,,2019,00,45460,Terre Haute MSA,"Some college, no degree",237.31949627701474
Advanced and Traded Industries,0,,2019,18,00000,Indiana,Associate's degree,19604.087319610662
