year,statefips,metrofips,geo_area,code,category,data
2020,18,26900,Indianapolis MSA,901,Area of Study - Business and Communication,1776
2020,18,26900,Indianapolis MSA,902,Area of Study - Education,592
2020,18,26900,Indianapolis MSA,903,Area of Study - Health,1415
2020,18,26900,Indianapolis MSA,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",2626
2020,18,26900,Indianapolis MSA,905,Area of Study - Social and Behavioral Sciences and Human Services,1142
2020,18,26900,Indianapolis MSA,906,Area of Study - Trades,569
2020,18,26900,Indianapolis MSA,907,Area of Study - Undecided,649
2020,18,26900,Indianapolis MSA,908,Degree Level - Associate,1990
2020,18,26900,Indianapolis MSA,909,Degree Level - Award of at least 1 but less than 2 academic years,262
2020,18,26900,Indianapolis MSA,910,Degree Level - Award of less than 1 academic year,168
2020,18,26900,Indianapolis MSA,911,Degree Level - Bachelor's,7604
2020,18,26900,Indianapolis MSA,912,Degree Level - Unclassified undergraduate,12
2021,18,26900,Indianapolis MSA,100,Total High School Graduates,24850
2021,18,26900,Indianapolis MSA,101,Diploma Type - Core 40,13105
2021,18,26900,Indianapolis MSA,102,Diploma Type - General,2196
2021,18,26900,Indianapolis MSA,103,Diploma Type - Honors,9549
2021,18,26900,Indianapolis MSA,200,No ACT data,21972
2021,18,26900,Indianapolis MSA,201,ACT - < 15,188
2021,18,26900,Indianapolis MSA,202,ACT - 15-19,560
2021,18,26900,Indianapolis MSA,203,ACT - 20-25,1058
2021,18,26900,Indianapolis MSA,204,ACT - 26-36,1072
2021,18,26900,Indianapolis MSA,300,Gender - Female,12704
2021,18,26900,Indianapolis MSA,301,Gender - Male,12146
2021,18,26900,Indianapolis MSA,302,Race/Ethnicity - Asian,1102
2021,18,26900,Indianapolis MSA,303,Race/Ethnicity - Black,4024
2021,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2844
2021,18,26900,Indianapolis MSA,304,Race/Ethnicity - Hispanic or Latino,2844
2021,18,26900,Indianapolis MSA,305,Race/Ethnicity - Other,1234
2021,18,26900,Indianapolis MSA,306,Race/Ethnicity - White,15646
2021,18,26900,Indianapolis MSA,400,Waiver Status - Graduated with Waiver,2936
2021,18,26900,Indianapolis MSA,401,Waiver Status - Graduated without Waiver,21914
2021,18,26900,Indianapolis MSA,500,Socioeconomic Status - Free or Reduced Lunch,8219
2021,18,26900,Indianapolis MSA,501,Socioeconomic Status - Non Free or Reduced Lunch,16631
2021,18,26900,Indianapolis MSA,600,No SAT data,15334
2021,18,26900,Indianapolis MSA,601,SAT - < 800,474
2021,18,26900,Indianapolis MSA,602,SAT - 1000-1199,3814
2021,18,26900,Indianapolis MSA,603,SAT - 1200-1600,3012
2021,18,26900,Indianapolis MSA,604,SAT - 800-999,2216
2021,18,26900,Indianapolis MSA,700,College Enrollments,13813
2021,18,26900,Indianapolis MSA,800,Indiana Public College Enrollments,9488
2021,18,26900,Indianapolis MSA,900,Area of Study - Arts and Humanities,1145
