year,NAICS,occ
2020,522180,11-2033
2019,522291,27-2032
2022,523999,17-2111
2019,525120,49-2096
2027,522320,51-9031
2021,524291,53-5022
2025,524210,35-2013
2025,524291,11-9039
2024,525920,53-4041
2023,522110,13-1074
2022,524292,41-4011
2020,523940,29-1249
2023,524298,47-3013
2027,524210,47-3013
2021,524114,49-9064
2026,522130,13-1121
2026,522292,37-3019
2021,523150,49-9062
2023,522292,49-3023
2026,522320,29-1215
2020,522130,17-2161
2019,525190,35-2014
2027,525910,17-2121
2025,525920,27-2012
2027,522390,11-3051
2023,524114,43-4051
2019,523160,31-9091
2028,525110,43-6011
2028,522299,31-9099
2024,524128,19-3039
2026,525920,19-3091
2025,522292,13-1111
2025,524292,19-2041
2028,525920,47-2142
2021,525910,29-1126
2019,525910,51-4111
2019,525190,37-2012
2027,522210,53-7064
2028,525190,39-1014
2026,522291,47-5081
2020,524126,43-9081
2028,523999,29-1123
2019,525910,25-3031
2022,522210,17-2151
2027,522210,47-2041
2028,525920,19-1022
2019,525910,33-9021
2027,523999,53-7051
2023,523910,31-9096
2026,523160,47-5023
2021,525190,53-7062
2020,523910,51-3099
2020,522310,53-6051
2027,522292,25-1099
2022,523210,43-1011
2019,523160,47-3014
2020,523940,13-1141
2028,522310,11-9031
2020,524292,53-4041
2028,522110,53-5022
2024,523910,47-4071
2023,523160,39-3092
2024,522310,19-1031
2025,525120,11-9121
2027,523940,35-2019
2019,524130,53-7062
2023,525120,51-4199
2028,522130,27-2032
2028,524113,37-2019
2019,524127,53-3031
2022,522320,29-1171
2024,523210,51-9061
2021,524298,35-2013
2025,524126,31-9092
2020,525920,47-5022
2023,524130,23-2093
2028,524126,31-1131
2025,521110,29-1299
2026,524114,35-2021
2020,522210,47-2021
2020,524291,27-3043
2028,525910,23-2099
2027,521110,47-2021
2022,524291,53-7121
2025,524210,41-3021
2028,525920,11-9033
2026,525990,17-1012
2021,524127,47-2021
2027,525920,27-2099
2023,522130,21-2021
2022,523910,43-6014
2028,523910,17-1011
2028,523999,29-2061
2027,521110,17-2081
2024,524128,49-2022
2024,524291,15-1212
2021,524114,27-3031
2021,524127,51-9041
2019,523150,29-2052
2025,522390,13-1141
2023,525190,51-8093
2019,524128,13-1199
2019,523940,13-1041
2021,523160,19-1099
2027,525120,51-9196
2025,522299,45-2092
2025,522291,35-3023
