year,statefips,metrofips,geo_area,cicp_initiative,jobs
2026,00,17140,Cincinnati MSA,AgriNovus,2990.1417850681523
2026,00,17140,Cincinnati MSA,BioCrossroads,10126.279630425126
2026,00,17140,Cincinnati MSA,Conexus,61529.965254716386
2026,00,17140,Cincinnati MSA,Finance,10554.386749645337
2026,00,17140,Cincinnati MSA,Healthcare,4161.867251966922
2026,00,17140,Cincinnati MSA,TechPoint,24941.958583646316
2026,00,18020,Columbus MSA,Advanced and Traded Industries,9594.062323693171
2026,00,18020,Columbus MSA,AgriNovus,26.421344047476595
2026,00,18020,Columbus MSA,BioCrossroads,362.6315095808419
2026,00,18020,Columbus MSA,Conexus,11508.368846971223
2026,00,18020,Columbus MSA,Finance,184.3270984962479
2026,00,18020,Columbus MSA,Healthcare,11.266085937005368
2026,00,18020,Columbus MSA,TechPoint,797.4415834247386
2026,00,21140,Elkhart-Goshen MSA,Advanced and Traded Industries,7938.269200356199
2026,00,21140,Elkhart-Goshen MSA,AgriNovus,106.16261782379723
2026,00,21140,Elkhart-Goshen MSA,BioCrossroads,288.8865424439997
2026,00,21140,Elkhart-Goshen MSA,Conexus,8573.942897016652
2026,00,21140,Elkhart-Goshen MSA,Finance,258.39740217065656
2026,00,21140,Elkhart-Goshen MSA,Healthcare,192.71097816115903
2026,00,21140,Elkhart-Goshen MSA,TechPoint,775.5977830181658
2026,00,21780,Evansville MSA,Advanced and Traded Industries,7916.047860867051
2026,00,21780,Evansville MSA,AgriNovus,276.9267024838988
2026,00,21780,Evansville MSA,BioCrossroads,837.4311525708044
2026,00,21780,Evansville MSA,Conexus,4964.829710033277
2026,00,21780,Evansville MSA,Finance,496.24430979355895
2026,00,21780,Evansville MSA,Healthcare,302.47417048748986
2026,00,21780,Evansville MSA,TechPoint,1632.9061439205127
2026,00,23060,Fort Wayne MSA,Advanced and Traded Industries,15607.333256782276
2026,00,23060,Fort Wayne MSA,AgriNovus,323.4859347052218
2026,00,23060,Fort Wayne MSA,BioCrossroads,804.7289795685809
2026,00,23060,Fort Wayne MSA,Conexus,12445.3782868011
2026,00,23060,Fort Wayne MSA,Finance,1811.9343896317275
2026,00,23060,Fort Wayne MSA,Healthcare,936.8648268564269
2026,00,23060,Fort Wayne MSA,TechPoint,4219.425388626422
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,Advanced and Traded Industries,96653.01016048378
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,AgriNovus,2239.475165566045
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,15362.239147380866
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,Conexus,50031.1530573986
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,Finance,8860.256894046157
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,Healthcare,3859.0975814302483
2026,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,31777.76614356668
2026,00,29020,Kokomo MSA,Advanced and Traded Industries,1490.235908935616
2026,00,29020,Kokomo MSA,AgriNovus,9.941181745902448
2026,00,29020,Kokomo MSA,BioCrossroads,39.04714360027754
2026,00,29020,Kokomo MSA,Conexus,1723.4164084937368
2026,00,29020,Kokomo MSA,Finance,105.02437317354679
2026,00,29020,Kokomo MSA,Healthcare,31.61959216356938
2026,00,29020,Kokomo MSA,TechPoint,213.29119303603287
2026,00,29200,Lafayette-West Lafayette MSA,Advanced and Traded Industries,7667.062511386717
2026,00,29200,Lafayette-West Lafayette MSA,AgriNovus,669.1647251418576
2026,00,29200,Lafayette-West Lafayette MSA,BioCrossroads,1388.7037390246505
2026,00,29200,Lafayette-West Lafayette MSA,Conexus,6838.673028197372
2026,00,29200,Lafayette-West Lafayette MSA,Finance,319.553389650743
2026,00,29200,Lafayette-West Lafayette MSA,Healthcare,193.26953437884532
2026,00,29200,Lafayette-West Lafayette MSA,TechPoint,1362.0017404102873
2026,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,46162.42385663024
2026,00,31140,Louisville/Jefferson County MSA,AgriNovus,1253.5459039085422
2026,00,31140,Louisville/Jefferson County MSA,BioCrossroads,2843.4890817508317
2026,00,31140,Louisville/Jefferson County MSA,Conexus,27160.265903928874
2026,00,31140,Louisville/Jefferson County MSA,Finance,6287.686239836336
2026,00,31140,Louisville/Jefferson County MSA,Healthcare,2121.54603056937
2026,00,31140,Louisville/Jefferson County MSA,TechPoint,13812.61242767902
2026,00,33140,Michigan City-La Porte MSA,Advanced and Traded Industries,2070.9392397237093
2026,00,33140,Michigan City-La Porte MSA,AgriNovus,40.72576083907268
2026,00,33140,Michigan City-La Porte MSA,BioCrossroads,66.53631946269738
2026,00,33140,Michigan City-La Porte MSA,Conexus,2254.8063552497592
2026,00,33140,Michigan City-La Porte MSA,Finance,144.8071279737093
2026,00,33140,Michigan City-La Porte MSA,Healthcare,67.73094317690395
2026,00,33140,Michigan City-La Porte MSA,TechPoint,266.5537658920453
2026,00,34620,Muncie MSA,Advanced and Traded Industries,2200.1482653102453
2026,00,34620,Muncie MSA,AgriNovus,9.169266878890861
2026,00,34620,Muncie MSA,BioCrossroads,63.27575818913253
2026,00,34620,Muncie MSA,Conexus,997.8731560083884
2026,00,34620,Muncie MSA,Finance,247.82387146650711
2026,00,34620,Muncie MSA,Healthcare,101.4256615966516
2026,00,34620,Muncie MSA,TechPoint,976.9220231867636
2026,00,43780,South Bend-Mishawaka MSA,Advanced and Traded Industries,7309.013701998953
2026,00,43780,South Bend-Mishawaka MSA,AgriNovus,37.48461467387692
2026,00,43780,South Bend-Mishawaka MSA,BioCrossroads,524.638591146117
2026,00,43780,South Bend-Mishawaka MSA,Conexus,4618.946406796748
2026,00,43780,South Bend-Mishawaka MSA,Finance,470.9128581997752
2026,00,43780,South Bend-Mishawaka MSA,Healthcare,314.7402073165112
2026,00,43780,South Bend-Mishawaka MSA,TechPoint,2250.7772267853447
2026,00,45460,Terre Haute MSA,Advanced and Traded Industries,2131.631223189895
2026,00,45460,Terre Haute MSA,AgriNovus,62.94723708064901
2026,00,45460,Terre Haute MSA,BioCrossroads,157.1085576761686
2026,00,45460,Terre Haute MSA,Conexus,2108.835211916843
2026,00,45460,Terre Haute MSA,Finance,196.8123984979203
2026,00,45460,Terre Haute MSA,Healthcare,125.93813670705981
2026,00,45460,Terre Haute MSA,TechPoint,360.47233195869006
2026,18,00000,Indiana,Advanced and Traded Industries,241135.77023922824
2026,18,00000,Indiana,AgriNovus,7069.454905875304
2026,18,00000,Indiana,BioCrossroads,31449.14592878965
