year,statefips,metrofips,geo_area,cicp_initiative,occ,occ_title,jobs
2019,0,00000,United States,BioCrossroads,15-1299,"Computer Occupations, All Other",21188.554823594135
2019,0,00000,United States,BioCrossroads,15-2011,Actuaries,75.5789479137525
2019,0,00000,United States,BioCrossroads,15-2021,Mathematicians,882.6822232914049
2019,0,00000,United States,BioCrossroads,15-2031,Operations Research Analysts,6859.906974035875
2019,0,00000,United States,BioCrossroads,15-2041,Statisticians,14756.979549660144
2019,0,00000,United States,BioCrossroads,15-2051,Data Scientists,10864.698660608661
2019,0,00000,United States,BioCrossroads,15-2099,"Mathematical Science Occupations, All Other",176.270754583793
2019,0,00000,United States,BioCrossroads,17-1011,"Architects, Except Landscape and Naval",233.98129633989518
2019,0,00000,United States,BioCrossroads,17-1012,Landscape Architects,0.0
2019,0,00000,United States,BioCrossroads,17-1021,Cartographers and Photogrammetrists,202.9866768472372
2019,0,00000,United States,BioCrossroads,17-1022,Surveyors,230.16796057826423
2019,0,00000,United States,BioCrossroads,17-2011,Aerospace Engineers,13480.316614044588
2019,0,00000,United States,BioCrossroads,17-2021,Agricultural Engineers,248.34867565608562
2019,0,00000,United States,BioCrossroads,17-2031,Bioengineers and Biomedical Engineers,20603.335398988063
2019,0,00000,United States,BioCrossroads,17-2041,Chemical Engineers,13629.293699552272
2019,0,00000,United States,BioCrossroads,17-2051,Civil Engineers,4288.6989233768345
2019,0,00000,United States,BioCrossroads,17-2061,Computer Hardware Engineers,19021.958519341664
2019,0,00000,United States,BioCrossroads,17-2071,Electrical Engineers,30456.88458174627
2019,0,00000,United States,BioCrossroads,17-2072,"Electronics Engineers, Except Computer",23710.11830032804
2019,0,00000,United States,BioCrossroads,17-2081,Environmental Engineers,2696.5356108695196
2019,0,00000,United States,BioCrossroads,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",3430.640320171595
2019,0,00000,United States,BioCrossroads,17-2112,Industrial Engineers,60889.54444684936
2019,0,00000,United States,BioCrossroads,17-2121,Marine Engineers and Naval Architects,1107.2530505674686
2019,0,00000,United States,BioCrossroads,17-2131,Materials Engineers,5121.578558920945
2019,0,00000,United States,BioCrossroads,17-2141,Mechanical Engineers,50707.663707183856
2019,0,00000,United States,BioCrossroads,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",324.0817084831384
2019,0,00000,United States,BioCrossroads,17-2161,Nuclear Engineers,4744.570604759688
2019,0,00000,United States,BioCrossroads,17-2171,Petroleum Engineers,2726.6001727427515
2019,0,00000,United States,BioCrossroads,17-2199,"Engineers, All Other",31940.128946582387
2019,0,00000,United States,BioCrossroads,17-3011,Architectural and Civil Drafters,359.5345065206038
2019,0,00000,United States,BioCrossroads,17-3012,Electrical and Electronics Drafters,1456.9779232495039
2019,0,00000,United States,BioCrossroads,17-3013,Mechanical Drafters,2488.2827400656524
2019,0,00000,United States,BioCrossroads,17-3019,"Drafters, All Other",618.5141851665454
2019,0,00000,United States,BioCrossroads,17-3021,Aerospace Engineering and Operations Technologists and Technicians,3168.217267155868
2019,0,00000,United States,BioCrossroads,17-3022,Civil Engineering Technologists and Technicians,679.4465361766446
2019,0,00000,United States,BioCrossroads,17-3023,Electrical and Electronic Engineering Technologists and Technicians,17675.5494040957
2019,0,00000,United States,BioCrossroads,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,3847.341768290152
2019,0,00000,United States,BioCrossroads,17-3025,Environmental Engineering Technologists and Technicians,1673.6996487093754
2019,0,00000,United States,BioCrossroads,17-3026,Industrial Engineering Technologists and Technicians,15962.345268734785
2019,0,00000,United States,BioCrossroads,17-3027,Mechanical Engineering Technologists and Technicians,8053.8563935000275
2019,0,00000,United States,BioCrossroads,17-3028,Calibration Technologists and Technicians,2739.1859385466223
2019,0,00000,United States,BioCrossroads,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17474.22551101218
2019,0,00000,United States,BioCrossroads,17-3031,Surveying and Mapping Technicians,239.8346236904268
2019,0,00000,United States,BioCrossroads,19-1011,Animal Scientists,1142.106100314658
2019,0,00000,United States,BioCrossroads,19-1012,Food Scientists and Technologists,3275.927879715852
2019,0,00000,United States,BioCrossroads,19-1013,Soil and Plant Scientists,3772.725474661318
2019,0,00000,United States,BioCrossroads,19-1021,Biochemists and Biophysicists,46769.0582852545
2019,0,00000,United States,BioCrossroads,19-1022,Microbiologists,15281.894990276669
2019,0,00000,United States,BioCrossroads,19-1023,Zoologists and Wildlife Biologists,1375.560791571883
2019,0,00000,United States,BioCrossroads,19-1029,"Biological Scientists, All Other",23888.311746083153
2019,0,00000,United States,BioCrossroads,19-1031,Conservation Scientists,330.7749055699138
2019,0,00000,United States,BioCrossroads,19-1032,Foresters,0.0
2019,0,00000,United States,BioCrossroads,19-1041,Epidemiologists,1173.0568813548061
2019,0,00000,United States,BioCrossroads,19-1042,"Medical Scientists, Except Epidemiologists",119962.63972656804
2019,0,00000,United States,BioCrossroads,19-1099,"Life Scientists, All Other",2221.3875539757923
2019,0,00000,United States,BioCrossroads,19-2011,Astronomers,1656.038173041894
2019,0,00000,United States,BioCrossroads,19-2012,Physicists,10951.73994755312
2019,0,00000,United States,BioCrossroads,19-2021,Atmospheric and Space Scientists,2389.9134210541883
2019,0,00000,United States,BioCrossroads,19-2031,Chemists,65231.8822729096
2019,0,00000,United States,BioCrossroads,19-2032,Materials Scientists,4216.655743289018
2019,0,00000,United States,BioCrossroads,19-2041,"Environmental Scientists and Specialists, Including Health",6244.303103410525
2019,0,00000,United States,BioCrossroads,19-2042,"Geoscientists, Except Hydrologists and Geographers",2039.6448260496438
2019,0,00000,United States,BioCrossroads,19-2043,Hydrologists,245.54133670113623
2019,0,00000,United States,BioCrossroads,19-2099,"Physical Scientists, All Other",5801.685797945734
2019,0,00000,United States,BioCrossroads,19-4012,Agricultural Technicians,4455.403322588474
2019,0,00000,United States,BioCrossroads,19-4013,Food Science Technicians,894.93817439153
2019,0,00000,United States,BioCrossroads,19-4021,Biological Technicians,64969.83894164075
2019,0,00000,United States,BioCrossroads,19-4031,Chemical Technicians,35131.054129108605
2019,0,00000,United States,BioCrossroads,19-4042,"Environmental Science and Protection Technicians, Including Health",2813.9728574880264
2019,0,00000,United States,BioCrossroads,19-4043,"Geological Technicians, Except Hydrologic Technicians",1567.0203957339338
2019,0,00000,United States,BioCrossroads,19-4044,Hydrologic Technicians,49.67886393783001
2019,0,00000,United States,BioCrossroads,19-4051,Nuclear Technicians,1972.0444580627482
2019,0,00000,United States,BioCrossroads,19-4071,Forest and Conservation Technicians,158.1709226915068
2019,0,00000,United States,BioCrossroads,19-4092,Forensic Science Technicians,1124.9987578030452
2019,0,00000,United States,BioCrossroads,19-4099,"Life, Physical, and Social Science Technicians, All Other",19458.757957308313
2019,0,00000,United States,BioCrossroads,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",141810.91276626717
2019,0,00000,United States,BioCrossroads,41-9031,Sales Engineers,10261.249097174894
2019,0,00000,United States,Conexus,11-3021,Computer and Information Systems Managers,153828.06732840237
2019,0,00000,United States,Conexus,11-9041,Architectural and Engineering Managers,224014.42577477763
2019,0,00000,United States,Conexus,11-9121,Natural Sciences Managers,42501.16478486954
2019,0,00000,United States,Conexus,15-1211,Computer Systems Analysts,152993.0494803591
2019,0,00000,United States,Conexus,15-1212,Information Security Analysts,27468.77955756236
2019,0,00000,United States,Conexus,15-1221,Computer and Information Research Scientists,4873.576143187229
2019,0,00000,United States,Conexus,15-1231,Computer Network Support Specialists,52680.90083643457
2019,0,00000,United States,Conexus,15-1232,Computer User Support Specialists,234492.75302521785
2019,0,00000,United States,Conexus,15-1241,Computer Network Architects,38980.74974202215
2019,0,00000,United States,Conexus,15-1242,Database Administrators,19373.348978751263
2019,0,00000,United States,Conexus,15-1243,Database Architects,10596.264264633803
2019,0,00000,United States,Conexus,15-1244,Network and Computer Systems Administrators,132851.73532168183
2019,0,00000,United States,Conexus,15-1251,Computer Programmers,60234.077147814256
2019,0,00000,United States,Conexus,15-1252,Software Developers,586465.290849515
2019,0,00000,United States,Conexus,15-1253,Software Quality Assurance Analysts and Testers,66680.80771741009
2019,0,00000,United States,Conexus,15-1254,Web Developers,17829.147659682123
2019,0,00000,United States,Conexus,15-1255,Web and Digital Interface Designers,12642.8164761165
2019,0,00000,United States,Conexus,15-1299,"Computer Occupations, All Other",92924.75590007604
2019,0,00000,United States,Conexus,15-2011,Actuaries,844.1019594869999
2019,0,00000,United States,Conexus,15-2021,Mathematicians,287.79769587928496
2019,0,00000,United States,Conexus,15-2031,Operations Research Analysts,29960.97105555137
2019,0,00000,United States,Conexus,15-2041,Statisticians,7364.001512054024
2019,0,00000,United States,Conexus,15-2051,Data Scientists,23380.569216913802
2019,0,00000,United States,Conexus,15-2099,"Mathematical Science Occupations, All Other",12.27325446321
