statefips,countyfips,metrofips,cnty_name,year,code,data
18,001,00000,Adams,2020,604,29
18,001,00000,Adams,2020,700,159
18,001,00000,Adams,2020,800,118
18,001,00000,Adams,2020,900,10
18,001,00000,Adams,2020,901,19
18,001,00000,Adams,2020,902,9
18,001,00000,Adams,2020,903,27
18,001,00000,Adams,2020,904,34
18,001,00000,Adams,2020,905,12
18,001,00000,Adams,2020,906,4
18,001,00000,Adams,2020,907,3
18,001,00000,Adams,2020,908,15
18,001,00000,Adams,2020,909,7
18,001,00000,Adams,2020,910,0
18,001,00000,Adams,2020,911,96
18,001,00000,Adams,2020,912,0
18,001,00000,Adams,2021,100,341
18,001,00000,Adams,2021,101,155
18,001,00000,Adams,2021,102,47
18,001,00000,Adams,2021,103,139
18,001,00000,Adams,2021,200,303
18,001,00000,Adams,2021,201,1
18,001,00000,Adams,2021,202,5
18,001,00000,Adams,2021,203,18
18,001,00000,Adams,2021,204,14
18,001,00000,Adams,2021,300,159
18,001,00000,Adams,2021,301,182
18,001,00000,Adams,2021,302,1
18,001,00000,Adams,2021,303,4
18,001,00000,Adams,2021,304,30
18,001,00000,Adams,2021,305,6
18,001,00000,Adams,2021,306,300
18,001,00000,Adams,2021,400,25
18,001,00000,Adams,2021,401,316
18,001,00000,Adams,2021,500,91
18,001,00000,Adams,2021,501,250
18,001,00000,Adams,2021,600,232
18,001,00000,Adams,2021,601,1
18,001,00000,Adams,2021,602,49
18,001,00000,Adams,2021,603,29
18,001,00000,Adams,2021,604,30
18,001,00000,Adams,2021,700,152
18,001,00000,Adams,2021,800,116
18,001,00000,Adams,2021,900,14
18,001,00000,Adams,2021,901,21
18,001,00000,Adams,2021,902,8
18,001,00000,Adams,2021,903,19
18,001,00000,Adams,2021,904,31
18,001,00000,Adams,2021,905,8
18,001,00000,Adams,2021,906,8
18,001,00000,Adams,2021,907,7
18,001,00000,Adams,2021,908,23
18,001,00000,Adams,2021,909,2
18,001,00000,Adams,2021,910,1
18,001,00000,Adams,2021,911,90
18,001,00000,Adams,2021,912,0
18,003,00000,Allen,2017,100,4166
18,003,00000,Allen,2017,101,2330
18,003,00000,Allen,2017,102,266
18,003,00000,Allen,2017,103,1570
18,003,00000,Allen,2017,300,2093
18,003,00000,Allen,2017,301,2073
18,003,00000,Allen,2017,302,154
18,003,00000,Allen,2017,303,606
18,003,00000,Allen,2017,304,405
18,003,00000,Allen,2017,305,245
18,003,00000,Allen,2017,306,2756
18,003,00000,Allen,2017,400,416
18,003,00000,Allen,2017,401,3750
18,003,00000,Allen,2017,500,1544
18,003,00000,Allen,2017,501,2622
18,003,00000,Allen,2017,600,1347
18,003,00000,Allen,2017,601,112
18,003,00000,Allen,2017,602,1261
18,003,00000,Allen,2017,603,690
18,003,00000,Allen,2017,604,756
18,003,00000,Allen,2017,700,2769
18,003,00000,Allen,2017,800,1944
18,003,00000,Allen,2017,900,244
18,003,00000,Allen,2017,901,305
18,003,00000,Allen,2017,902,143
18,003,00000,Allen,2017,903,341
18,003,00000,Allen,2017,904,416
18,003,00000,Allen,2017,905,181
18,003,00000,Allen,2017,906,125
18,003,00000,Allen,2017,907,189
18,003,00000,Allen,2017,908,422
18,003,00000,Allen,2017,909,43
18,003,00000,Allen,2017,910,13
18,003,00000,Allen,2017,911,1340
18,003,00000,Allen,2017,912,126
18,003,00000,Allen,2018,100,4222
18,003,00000,Allen,2018,101,2446
18,003,00000,Allen,2018,102,188
18,003,00000,Allen,2018,103,1588
18,003,00000,Allen,2018,200,0
18,003,00000,Allen,2018,201,3562
18,003,00000,Allen,2018,202,143
18,003,00000,Allen,2018,203,305
18,003,00000,Allen,2018,204,212
18,003,00000,Allen,2018,300,2124
18,003,00000,Allen,2018,301,2098
18,003,00000,Allen,2018,302,205
18,003,00000,Allen,2018,303,595
18,003,00000,Allen,2018,304,407
18,003,00000,Allen,2018,305,235
18,003,00000,Allen,2018,306,2780
18,003,00000,Allen,2018,400,320
18,003,00000,Allen,2018,401,3902
18,003,00000,Allen,2018,500,1601
18,003,00000,Allen,2018,501,2621
18,003,00000,Allen,2018,600,0
18,003,00000,Allen,2018,601,1532
