egr,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
8,TechPoint,2,Qualified - 21-50 Employees at start,1,143.91666666666666,5348056,37160.782860451654
8,Total,1,Qualified New - 1-20 or fewer Employees at start,2360,9895.666666666666,408239199,41249.21652575202
8,Total,2,Qualified - 21-50 Employees at start,52,1584.6666666666667,55955461,35310.55595288178
8,Total,3,Qualified - 51-100 Employees at start,15,866.3333333333334,35086264,40499.72758753366
9,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,654,1668.9166666666667,99104663,59369.32141608828
9,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,12,462,27207004,58889.619047619046
9,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,5,197.5,10775128,54557.61012658228
9,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,1,307,11593492,37763.817589576545
9,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,82,281.5,9189366,32644.284191829483
9,AgriNovus,2,Qualified - 21-50 Employees at start,2,45.333333333333336,3172576,69983.29411764706
9,AgriNovus,3,Qualified - 51-100 Employees at start,1,13.166666666666666,1039518,78950.7341772152
9,BioX,1,Qualified New - 1-20 or fewer Employees at start,24,65.58333333333333,4536594,69172.97077509531
9,Conexus,1,Qualified New - 1-20 or fewer Employees at start,201,740.0833333333334,35729135,48267.57662425402
9,Conexus,2,Qualified - 21-50 Employees at start,12,462,27207004,58889.619047619046
9,Conexus,3,Qualified - 51-100 Employees at start,5,197.5,10775128,54557.61012658228
9,Conexus,4,Qualified - 101+ Employees at start,1,307,11593492,37763.817589576545
9,Other,1,Qualified New - 1-20 or fewer Employees at start,1462,5542.666666666667,182841055,32979.739896560015
9,Other,2,Qualified - 21-50 Employees at start,55,1566,43415845,27724.03895274585
9,Other,3,Qualified - 51-100 Employees at start,8,359.3333333333333,6196714,17245.029684601115
9,Other,4,Qualified - 101+ Employees at start,4,442.4166666666667,12501093,28256.378979092107
9,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,93,173.16666666666666,14404005,83180.00962463907
9,Total,1,Qualified New - 1-20 or fewer Employees at start,2160,7309.166666666667,285931054,39110.2712575533
9,Total,2,Qualified - 21-50 Employees at start,68,2034.5833333333333,70882341,34838.75044030309
9,Total,3,Qualified - 51-100 Employees at start,13,556.8333333333334,16971842,30479.213409158932
9,Total,4,Qualified - 101+ Employees at start,5,749.4166666666666,24094585,32151.11975981319
10,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,773,2222.5833333333335,140255040,63092.183270218586
10,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,14,551.75,33848352,61347.26234707748
10,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,3,464.25,28384011,61139.49596122779
10,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,3,539.4166666666666,22791037,42251.26587362892
10,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,56,214.83333333333334,13219903,61531.69899146625
10,AgriNovus,2,Qualified - 21-50 Employees at start,1,29.25,480903,16441.128205128207
10,AgriNovus,3,Qualified - 51-100 Employees at start,2,406.3333333333333,24631271,60618.38638228056
10,AgriNovus,4,Qualified - 101+ Employees at start,1,183.66666666666666,7824971,42604.19782214156
10,BioX,1,Qualified New - 1-20 or fewer Employees at start,32,88.08333333333333,8149254,92517.54777672658
10,Conexus,1,Qualified New - 1-20 or fewer Employees at start,209,887,44679324,50361.51860202931
10,Conexus,2,Qualified - 21-50 Employees at start,8,337.0833333333333,15831679,46966.66205191595
10,Conexus,3,Qualified - 51-100 Employees at start,3,464.25,28384011,61139.49596122779
10,Conexus,4,Qualified - 101+ Employees at start,2,386.91666666666663,17888832,46234.3278052983
10,Other,1,Qualified New - 1-20 or fewer Employees at start,1471,6960.75,278649811,40021.032216356
10,Other,2,Qualified - 21-50 Employees at start,76,1823.75,67682119,37111.511446196026
10,Other,3,Qualified - 51-100 Employees at start,15,992.4166666666666,37671762,37959.622470400536
10,Other,4,Qualified - 101+ Employees at start,3,152.5,3432603,22508.872131147542
10,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,124,208.33333333333334,20443965,98131.03199999999
10,TechPoint,2,Qualified - 21-50 Employees at start,1,14.083333333333334,1181348,83882.69822485207
10,TechPoint,4,Qualified - 101+ Employees at start,1,152.5,4902205,32145.60655737705
10,Total,1,Qualified New - 1-20 or fewer Employees at start,2278,9239.166666666666,425265671,46017.66266798954
10,Total,2,Qualified - 21-50 Employees at start,90,2375.5,101530471,42740.67396337613
10,Total,3,Qualified - 51-100 Employees at start,18,1456.6666666666667,66055773,45347.212585812355
10,Total,4,Qualified - 101+ Employees at start,6,691.9166666666666,26223640,37899.99759123209
11,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,976,3164.1666666666665,192298039,60769.67153015539
11,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,20,532.9166666666666,27398086,51411.57654417514
11,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,5,385.41666666666663,20336213,52764.22832432433
11,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,3,220.41666666666669,10643199,48286.72514177694
11,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,136,466.5,18839370,40384.501607717044
11,AgriNovus,2,Qualified - 21-50 Employees at start,3,86,5590488,65005.67441860465
11,BioX,1,Qualified New - 1-20 or fewer Employees at start,41,90.58333333333333,9326545,102933.25114995401
11,Conexus,1,Qualified New - 1-20 or fewer Employees at start,243,1546.9166666666667,79029678,51081.947530032856
11,Conexus,2,Qualified - 21-50 Employees at start,11,322.6666666666667,15543922,48173.311983471074
11,Conexus,3,Qualified - 51-100 Employees at start,4,308.91666666666663,15837166,51266.790396547076
11,Conexus,4,Qualified - 101+ Employees at start,2,122.5,4384338,35790.514285714286
11,Other,1,Qualified New - 1-20 or fewer Employees at start,2153,9871.333333333334,341211462,34560.81133923144
11,Other,2,Qualified - 21-50 Employees at start,85,1971.4166666666667,48530078,24615.177410491608
11,Other,3,Qualified - 51-100 Employees at start,24,1008.0833333333334,24397945,24202.309663552947
11,Other,4,Qualified - 101+ Employees at start,5,309.75,7219807,23308.49717514124
11,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,141,252.16666666666666,19240102,76299.14871116987
11,Total,1,Qualified New - 1-20 or fewer Employees at start,3234,13297.166666666666,544693103,40958.36907611897
11,Total,2,Qualified - 21-50 Employees at start,105,2504.3333333333335,75928164,30317.392652735256
11,Total,3,Qualified - 51-100 Employees at start,29,1393.5,44734158,32102.015069967707
11,Total,4,Qualified - 101+ Employees at start,8,530.1666666666666,17863006,33693.18956303049
12,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,3447,11946.666666666666,976485432,81733.82561383929
12,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,80,2583.1666666666665,182879395,70796.5913929931
12,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,18,1404.6666666666667,70555377,50229.26696725201
12,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,4,268.4166666666667,13460998,50149.63551692021
12,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,109,753.25,31531570,41860.6969797544
12,AgriNovus,2,Qualified - 21-50 Employees at start,5,450.0833333333333,31014709,68908.81466395113
12,AgriNovus,3,Qualified - 51-100 Employees at start,1,289,9166655,31718.529411764706
12,AgriNovus,4,Qualified - 101+ Employees at start,1,107,1703891,15924.214953271028
12,BioX,1,Qualified New - 1-20 or fewer Employees at start,191,594.5,74158615,124741.07821698907
12,BioX,2,Qualified - 21-50 Employees at start,1,22.916666666666668,1006366,43914.152727272725
12,BioX,3,Qualified - 51-100 Employees at start,1,84.08333333333333,16315901,194044.41228939546
12,Conexus,1,Qualified New - 1-20 or fewer Employees at start,680,3144.5833333333335,175305052,55744.58343712733
12,Conexus,2,Qualified - 21-50 Employees at start,36,1223.25,71395909,58365.75434293889
12,Conexus,3,Qualified - 51-100 Employees at start,14,1127,45503100,40375.421472937
12,Conexus,4,Qualified - 101+ Employees at start,2,107,1703891,15924.214953271028
12,Other,1,Qualified New - 1-20 or fewer Employees at start,6305,29825.25,1365567375,45785.01420776021
12,Other,2,Qualified - 21-50 Employees at start,268,8716.416666666666,341817577,39215.37829956882
12,Other,3,Qualified - 51-100 Employees at start,83,4516.916666666667,161518432,35758.4670959172
12,Other,4,Qualified - 101+ Employees at start,27,3382.6666666666665,126028350,37257.09992116674
12,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,740,2527.0833333333335,266985140,105640.61599340478
12,TechPoint,2,Qualified - 21-50 Employees at start,13,288,28931834,100457.75694444444
12,TechPoint,3,Qualified - 51-100 Employees at start,1,23.666666666666668,2965845,125317.39436619717
12,TechPoint,4,Qualified - 101+ Employees at start,1,136.33333333333334,11009611,80755.09290953545
12,Total,1,Qualified New - 1-20 or fewer Employees at start,9850,42213.25,2379040670,56356.33664785346
12,Total,2,Qualified - 21-50 Employees at start,352,11383,533546531,46872.224457524375
12,Total,3,Qualified - 51-100 Employees at start,101,5921.583333333333,232073809,39191.104800236426
12,Total,4,Qualified - 101+ Employees at start,31,3651.0833333333335,139489348,38204.92036610138
