msa,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
33140,Total,3,Qualified - 51-100 Employees at start,7,464.9166666666667,17242066,37086.3581286969
33140,Total,4,Qualified - 101+ Employees at start,2,69.83333333333333,1759535,25196.20525059666
34620,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,174,677.75,35596133,52516.61084470675
34620,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,1,25.75,1562974,60698.01941747573
34620,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,2,52.33333333333333,2693641,51470.84713375797
34620,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,16,51.083333333333336,1456178,28505.931484502446
34620,AgriNovus,2,Qualified - 21-50 Employees at start,2,59.5,3038434,51066.117647058825
34620,AgriNovus,3,Qualified - 51-100 Employees at start,1,36.166666666666664,1876792,51892.866359447005
34620,BioX,1,Qualified New - 1-20 or fewer Employees at start,3,6.416666666666667,303064,47230.753246753244
34620,Conexus,1,Qualified New - 1-20 or fewer Employees at start,41,311.9166666666667,17146995,54973.00026716537
34620,Conexus,2,Qualified - 21-50 Employees at start,1,25.75,1562974,60698.01941747573
34620,Conexus,3,Qualified - 51-100 Employees at start,1,16.166666666666668,816849,50526.742268041235
34620,Other,1,Qualified New - 1-20 or fewer Employees at start,413,1957.0833333333333,71341792,36453.11918245689
34620,Other,2,Qualified - 21-50 Employees at start,19,472.0833333333333,13482499,28559.574227714034
34620,Other,3,Qualified - 51-100 Employees at start,7,433.1666666666667,8493279,19607.41592920354
34620,Other,4,Qualified - 101+ Employees at start,1,1,661102,661102
34620,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,32,56.833333333333336,4041514,71111.68328445748
34620,Total,1,Qualified New - 1-20 or fewer Employees at start,601,2673.9166666666665,108252742,40483.58849378253
34620,Total,2,Qualified - 21-50 Employees at start,22,557.3333333333334,18083907,32447.201555023923
34620,Total,3,Qualified - 51-100 Employees at start,9,485.5,11186920,23042.05973223481
34620,Total,4,Qualified - 101+ Employees at start,1,1,661102,661102
43780,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,638,1771.9166666666667,117622814,66380.1047829563
43780,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,14,516.5833333333334,30336025,58724.35876754315
43780,Advanced & Traded Industries,3,Qualified - 51-100 Employees at start,5,222.41666666666669,9503789,42729.66204571
43780,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,1,25.583333333333332,873836,34156.45602605864
43780,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,34,113.33333333333333,3598511,31751.567647058826
43780,AgriNovus,2,Qualified - 21-50 Employees at start,3,23.166666666666668,287945,12429.280575539568
43780,AgriNovus,3,Qualified - 51-100 Employees at start,2,43.833333333333336,451048,10290.068441064639
43780,BioX,1,Qualified New - 1-20 or fewer Employees at start,41,151.75,9297986,61271.73640856672
43780,Conexus,1,Qualified New - 1-20 or fewer Employees at start,113,547.5,29713476,54266.07488584475
